bgg_id,simple_mechanics,simple_category
102104,Card Play; Set Collection,Card Games; Science Fiction / Space
102107,Map Building; Turn Order,Adventure / Exploration; Sports / Racing
102144,,Action / Dexterity; Puzzle / Logic
102145,Random Activation; Dice Rolling; Area Movement; Combat Resolution; Simulation; Area Control,War / Historical Battles
102148,Hidden Info; Asymmetric Powers,Puzzle / Logic; Party / Social; Print & Play; Modern / Political Conflicts
102150,Auction / Bidding; Route Building,Economic / Industry
102151,Route Building,Economic / Industry
102159,Roll and Move; Simulation,Sports / Racing
102181,Memory / Matching,Party / Social; Puzzle / Logic
102219,,Action / Dexterity; Kids / Family; Puzzle / Logic
102237,Action Selection; Campaign / Scenario; Area Movement; Card Play; Asymmetric Powers,Fantasy / Mythical; War / Historical Battles
102253,Deck / Bag Building; Dice Rolling; Card Play; Drafting; Simulation,Card Games; War / Historical Battles
102275,Drafting; Push Your Luck; Solo Play,Adventure / Exploration; Card Games; Fantasy / Mythical; Media / Pop Culture; Print & Play
102346,Area Movement,War / Historical Battles
102435,Campaign / Scenario; Area Movement; Solo Play,War / Historical Battles; Historical Eras
102548,Cooperative; Team Play; Dice Rolling; Map Building; Drafting; Area Movement; Turn Order; Initiative; Asymmetric Powers; Variable Setup,Action / Dexterity; Adventure / Exploration; Fantasy / Mythical; War / Historical Battles; Humor / Adult; Party / Social
102610,Area Control; Split & Choose; Set Collection,City / Civilization Building
102631,Card Play; Passing Mechanic; Race; Real-Time; Set Collection; Trading,Party / Social
102652,Cooperative; Team Play; Card Play; Solo Play; Asymmetric Powers,Card Games; Media / Pop Culture; War / Historical Battles
102676,Social / Party,Party / Social
102680,Area Movement; Card Play; Mancala; Drafting; Set Collection,Historical Eras
102681,Card Play; Turn Order; Worker Placement,Economic / Industry; Pirates / Nautical
102690,Dice Rolling; Drafting; Set Collection; Asymmetric Powers,Card Games; City / Civilization Building; Fantasy / Mythical; War / Historical Battles
102698,Dice Rolling; Card Play; Drafting; Push Your Luck; Hidden Info; Trading; Asymmetric Powers,Card Games; Economic / Industry; Modern / Political Conflicts; Science Fiction / Space; War / Historical Battles
102750,Dice Rolling,Educational / STEM; Puzzle / Logic
102792,,Party / Social; Trivia / Word Games
102794,Resource Management; Resource Drafting; Solo Play; Tile Placement; Turn Order; Initiative; Worker Placement,Animals / Nature; Economic / Industry; Fantasy / Mythical
102835,Drafting; Movement; Turn Order,Adventure / Exploration; Sports / Racing
102859,Roll and Move,Party / Social
102881,Area Movement,Abstract / Strategy
102897,Card Play; Take That,Card Games; Economic / Industry; Humor / Adult
102898,Drafting; Set Collection; Asymmetric Powers,Animals / Nature; Miniatures / Tabletop Battles; Pirates / Nautical
102940,Dice Rolling; Push Your Luck,Dice / Roll Mechanics; Party / Social
102965,Hidden Info,Puzzle / Logic; Educational / STEM; Modern / Political Conflicts
103016,Dice Rolling; Party / Trivia; Set Collection,Animals / Nature; Dice / Roll Mechanics; Adventure / Exploration
103039,Area Movement; Hidden Info,Economic / Industry; War / Historical Battles; Modern / Political Conflicts
103061,Split & Choose; Pattern Building; Area Movement,Abstract / Strategy
103077,Memory / Matching,Party / Social; Card Games; Puzzle / Logic
103091,Dice Rolling; Route Building; Trading,City / Civilization Building; Adventure / Exploration; Party / Social
103092,Action Selection; Area Control; Tile Placement; Worker Placement,City / Civilization Building
103132,Card Play; Drafting; Stock / Speculation,Card Games; Economic / Industry
103184,Stock / Speculation; Memory / Matching; Map Building; Drafting; Set Collection,Economic / Industry; Fantasy / Mythical
103185,Rondel; Tile Placement; Worker Placement,Historical Eras; Economic / Industry
103191,Deck / Bag Building; Card Play; Drafting; Asymmetric Powers,Historical Eras; Fantasy / Mythical; War / Historical Battles
103235,Action Selection; Area Movement; Map Building; Drafting; Tile Placement,Economic / Industry
103236,Pattern Building,Action / Dexterity; Card Games; Puzzle / Logic
103261,Voting,Humor / Adult; Party / Social
103327,Dice Rolling; Area Movement,Kids / Family; Educational / STEM; Animals / Nature
103328,Auction / Bidding; Card Play,Card Games; Kids / Family; Educational / STEM; Animals / Nature
103339,Dice Rolling; Area Movement; Simulation; Area Control,War / Historical Battles
103343,Bonus Tokens; Team Play; Area Movement; Auction / Bidding; Card Play; Event Cards; Resource Management; Negotiation; Turn Order; Player Elimination; Simultaneous Play; Sudden Death; Turn Order; Initiative; Asymmetric Powers,Party / Social; Fantasy / Mythical; Media / Pop Culture; Modern / Political Conflicts; War / Historical Battles
103368,Action Selection; Programmed Movement; Simultaneous Play,Abstract / Strategy; Historical Eras
103402,Social / Party; Dexterity; Party / Trivia; Cooperative; Team Play,Party / Social; Puzzle / Logic; Trivia / Word Games
103405,Roll and Move; Set Collection,Kids / Family; Economic / Industry; Media / Pop Culture
103469,Area Control; Area Movement; Dice Rolling; Player Elimination; Set Collection,City / Civilization Building; Media / Pop Culture; War / Historical Battles
103573,Dice Rolling; Card Play; Map Building; Asymmetric Powers,Pirates / Nautical
103638,Pick-up and Deliver; Roll and Move,Adventure / Exploration
103640,Dice Rolling; Tile Placement,Abstract / Strategy
103649,Card Play; Resource Management; Race; Set Collection; Simultaneous Play; Variable Setup,Card Games; City / Civilization Building
103651,Card Play; Trick Taking / Climbing; Take That,Card Games; Puzzle / Logic
103660,Stock / Speculation; Memory / Matching; Simultaneous Play; Trading; Turn Order; Asymmetric Powers; Worker Placement,Party / Social; Economic / Industry
103666,Action Selection; Area Control; Area Movement; Asymmetric Powers,Horror / Zombies
103670,Action Selection; Dice Rolling; Asymmetric Powers,Media / Pop Culture; Miniatures / Tabletop Battles; Science Fiction / Space; War / Historical Battles
